skilled,tired,testPerformance,
false,false,67.28458025747435,
false,false,72.41905677620278,
false,false,68.66287532940078,
false,true,30.316433360832473,
false,true,31.113203470874645,
true,true,67.11731126660466,
false,false,68.46366331762532,
false,true,31.456652714659445,
false,false,70.63512279746395,
true,false,90.96736062477031,
false,true,31.927142415194773,
false,true,28.78089058555952,
false,false,69.66724974515635,
false,true,33.7094208745487,
false,true,37.804374105829886,
true,false,88.78483244488388,
false,true,29.786241772845685,
false,false,68.37345797639624,
true,false,88.89282028726971,
false,false,76.20311347839167,
false,true,37.12197686879169,
false,true,26.544764454036297,
true,true,73.53352215307564,
false,true,38.3698337044808,
false,true,29.555444079486414,
false,false,71.23438779613797,
false,false,73.47445162485631,
false,false,71.23368217256046,
false,false,70.0026604591958,
false,false,68.37014550740324,
false,false,67.41311788954432,
true,false,88.25849844838935,
false,false,67.50931840335936,
false,true,32.15817027542912,
false,false,68.94214381334385,
false,true,38.1221221784771,
false,true,28.3807252137302,
false,false,71.77886464776678,
false,true,26.92287939707605,
true,false,89.14164247332576,
false,true,30.67217225699268,
true,true,67.76988741738339,
false,true,35.850908889926885,
true,false,88.6047158833593,
false,true,34.03739198804367,
false,true,31.97305511861829,
true,true,67.0450748467945,
false,true,21.944969881009456,
false,true,32.07338510543747,
false,false,66.05688802010074,
false,true,34.37189536643645,
false,false,70.61968924957353,
false,true,25.790291441510405,
true,false,89.35178098785855,
true,false,92.42501679299805,
false,false,64.409924608866,
true,false,90.49118611677963,
false,true,26.57431617100482,
false,true,29.812303930940644,
false,true,34.133772511057586,
false,false,64.08441756235662,
false,true,30.93098438083549,
false,false,65.52157357985728,
false,false,66.2444976343353,
false,false,69.1932073735683,
true,true,73.2982367270447,
true,true,76.24537967054316,
true,false,92.14566374587397,
false,true,26.434384405795925,
true,false,91.72065702153294,
false,false,65.83805227176093,
false,false,68.57683358327282,
false,false,62.01939185068309,
true,false,90.78443710750064,
false,true,33.175719820758154,
false,true,25.25599143092738,
false,true,36.193586761029316,
false,true,36.01572148646533,
false,true,26.11557368320883,
false,false,71.5698857213265,
false,true,31.578799991811906,
false,false,70.90754159530098,
false,false,75.16677652201558,
true,false,90.69595713253666,
true,false,89.60334831282601,
false,false,67.38626788168608,
false,false,71.42585137320023,
false,false,68.50194715005951,
false,false,65.74588590714423,
false,false,66.73579653177418,
true,false,87.34747106289996,
false,true,30.800739129775344,
false,false,75.42931343923428,
true,false,91.627288901827,
false,false,68.54713702200421,
true,true,72.55346103595222,
false,true,24.141138716418823,
false,true,29.236766334115497,
false,false,71.90039161952733,
false,false,70.33948942176202,
false,true,35.22646021317305,
true,true,71.7296752423753,
false,false,69.38007933234913,
false,true,27.077490668137866,
false,true,32.101929206907194,
false,false,69.34395222488264,
false,false,67.64220966575593,
true,true,68.54067896036317,
